,text,gender,category
148,"dense atmosphere of dust, arising from the ceaseless working of her ",0,work
149,or how the man who has viewed the idea itself will be a better,1,achievement
150,summer. i'll try it again. tom pinch has succeeded. with his advice to,1,achievement
151,long as he exercises authority over them according to rules ,1,achievement
152,<p>beyond my power to command.&nbsp; miss crawford may chuse her,0,achievement
153,far the most important foreign home he visited was that of coleridge,1,home
154,"better classes against the people, and he is elected by them out of",1,achievement
155,again for my company and kindness. - she bid me adieu twice. - i,0,work
156,must pay dearly for.  he is courteous and considerate where,1,work
157,<p>&nbsp;`it puts him in the power of the cabman.',1,achievement
158,"here--but unfortunately, though he has so far got the better of",1,achievement
159,particularly those he knew to be in power and whose aid he might need.,1,achievement
160,"burge on that bargain, and went home with his mind full of happy",1,home
161,"<p>suggested she had better do so at once, and then there would be no",0,achievement
162,"his way--tend to his own power and pocket. of his pleasures, general and",1,achievement
163,out her plan that i should accompany her in most,0,achievement
164,to unfold a plan that he had been considering,1,achievement
165,"of it, that she would often pay a visit to monkbarns, to have the",0,work
166,"then he got something to do, but they hardly paid him anything, and",1,work
167,to join him. he was tried and condemned to death. the injustice of his,1,achievement
168,"his better students to love them, but he was neither",1,achievement
169,"her powerful protector, maximilian earned the territories and dignities",0,achievement
170,"judges of the success of others, from the effects of his own merit.",1,achievement
171,"he was about, he had seized one of the protruding arrows and tried",1,achievement
172,if i was still her servant.  if i'm the better for that--and i,0,achievement
173,but the one effort and sank again into lethargy.  the course of his,1,achievement
174,as his family comes nearly up to that proportion which his flocks,1,home
175,"exalting the authority and glory of constantine, affirms, that he",1,achievement
176,"supernatural power that bore her on, while from her pale lips",0,achievement
177,way which gratified his father's family pride. the marquis would have,1,home
178,"to have done, he forthwith proceeded to work himself into a red-hot, scorching,",1,work
179,the wentworth household seemed to her very perfect in its kind--,0,home
180,"society with his father, you better ship him at once. ",1,achievement
181,"<p>`then what are you making all this piece of work for,' retorted her",0,work
182,"experience, worked out just what he likes to take into the field;",1,work
183,<p>living together.&nbsp; it would never do.&nbsp; she knew a family near,0,home
184,paid her.  his sadness was not untouched with bitterness as he,1,work
185,"in their business transactions, for he was a great lover of form,",1,work
186,shelterless man with a family to do. it would not be a pleasant,1,home
187,compelling power of fitzpiers's atmosphere still held her there. ,0,achievement
188,"i tried to laugh away her doubts, though whenever i did so i",0,achievement
189,"i have paid a visit to the heights, but i have not seen her since she left:",0,work
190,"but when she tried to eat, the food seemed to choke her. still she was",0,achievement
191,is anxious to conceal it - but he need not have tried to impose ,1,achievement
192,which a dog tries to smell his way back to all the time he is out ,1,achievement
193,man tried to stop me i was a match for him. if more than one attacked me,1,achievement
194,"""we have not come here by human power alone,"" she said, clasping her",0,achievement
195,his hand (for they were all working in the field about their corn ,1,work
196,"insignificant thing, as if he whom it had power to torture and strangle",1,achievement
197,ilusha who comes home from school and loves me. yesterday he brought,1,home
198,"been better for her than spinning from morning to far in the night,",0,achievement
199,"<p>the first illustration is that of handling pig iron, and this work is chosen because it is typical of perhaps the crudest and most elementary form of labor which is performed by man. this work is done by men with no other implements than their hands. the pig-iron handler stoops down, picks up a pig weighing about 92 pounds, walks for a few feet or yards and then drops it on to the ground or upon a pile. this work is so crude and elementary in its nature that the writer firmly believes that it would be possible to train an intelligent gorilla so as to become a more efficient pig-iron handler than any man can be. yet it will be shown that the science of handling pig iron is so great and amounts to so much that it is impossible for the man who is best suited to this type of work to understand the principles of this science, or even to work in accordance with these principles without the aid of a man better educated than he is. and the further illustrations to be given will make it clear that in almost all of the mechanic arts the science which underlies each workman's act is so great and amounts to so much that the workman who is best suited actually to do the work is incapable (either through lack of education or through insufficient mental capacity) of understanding this science. this is announced as a general principle, the truth of which will become apparent as one illustration after another is given. after showing these four elements in the handling of pig iron, several illustrations will be given of their application to different kinds of work in the field of the mechanic arts, at intervals in a rising scale, beginning with the simplest and ending with the more intricate forms of labor. </p>",1,work
200,"was a business letter, handed it on to her husband's successor. maitre",0,work
201,mind herself that her family was opposed to her,0,home
202,"<p>`i think i had better not tell you, mr. betteredge,' he said. `you might",1,achievement
203,"""i've tried to get the old man to sell and build, but you know he",1,achievement
204,"hear them tell and yourself try to repeat after them, that every man",1,achievement
205,"of the night, when he had been working hard all day; still, a",1,work
206,"<p>are her remains at rest in the family vault, than her husband is",0,home
207,  soc. and by the imitation of his master and by the power which he,1,achievement
208,he rolled back on his couch with a sigh of relief.  the day's work,1,work
209,"her great-grandson, caius caesar, who afterwards succeeded to power.",0,achievement
210,"summon him hither ourselves? you, i feel certain, are better able to",1,achievement
211,"behind the peasants, and to do his work as well as possible. he heard nothing",1,work
212,is drinking himself to death in jovial company away somewhere on his <i>fundacion</i>,1,work
213,"right to the trade of a money lender, but he who has the money to",1,work
214,"maintain his family for little more than a quit-rent, is as",1,home
215,she were punishing the table than preparing the family supper; ,0,home
216,"of his domestic affections, greece had not been enslaved; caesar would",1,home
217,he did not begin. it would have been better for varenka to be silent. after,1,achievement
218,and how can man die better,1,achievement
219,"contest, whether in public or private, he gets the better of his",1,achievement
220,"lafayette has quitted his command on the north frontier, in better or worse",1,achievement
221,"""you'd better sleep there tonight,"" he said; ""you'll be more",1,achievement
222,"with the help of his ring, had had a most successful journey, and",1,achievement
223,"he had secured the members of the league, and its leader by the gift",1,achievement
224,"rattlesnake creek from new york city.  indeed, she had no business",0,work
225,"they win men, and they hold men--"" she broke off to demand almost",0,achievement
226,flattery had paid him divine honours.,1,work
227,"new effort to procure employment, kit raised his eyes to the window",1,achievement
228,unnecessary; and on this account mr. percombe made it his business,1,work
229,"dozen lashes, and would have then loosed me and paid me what he owed",1,work
230,company was not excepted from this. he repeated the text once,1,work
231,"in haman's gate; all his success in his errand to london, his well-doing",1,achievement
232,"and collect him and gresson and the portuguese jew, try them by",1,achievement
233,better creep into the pouch of yonder female kangaroo - the ,0,achievement
234,"<p>&nbsp;`granted, but it's work in the sense that his activity produces",1,work
235,<p>&nbsp;tom fled home at noon. his conscience could not endure any more,1,home
236,"""my business with you presses,"" was his reply.",1,work
237,and a body ain't got no business doing wrong when he ain't ignorant and,1,work
238,"this fact impressed alpatych, but in thinking about his own business",1,work
239,"it, i answer for it, for the whole work of man really seems to",1,work
240,away to be worked out untroubled by any newer fact.  he should have,1,work
241,larger share of his income in works of benevolence.  one of the,1,work
242,"weakness and discord of his sons, confirmed the power of the",1,achievement
243,"owed him before, he has come here and worked for days",1,work
244,the business men in control push the advance of industry into new,1,work
245,"no better grounds than vague suspicion, derived from hints which her mother",0,achievement
246,at last in persuading her to return quietly to her household duties,0,home
247,just then mr. benson entered the room. he had returned home before his,1,home
248,"he paid no rent, its price could not be under =a34.",1,work
249,up at ninety dollars per column. and the men at the scales worked,1,work
250,"company in which he had distinguished himself highly, i said, 'sir,",1,work
251,"out, and to the cultivation of which he attended himself. to work in his",1,work
252,"at the home farm. she was overbusy and overtaxed,",0,home
253,now she tried how far i was accessible to mercenary motives; then she disported,0,achievement
254,and comfortably and successfully the argot of a trade at which he,1,work
255,<p>&nbsp;`had she not better stay with you?' returns the bridegroom.,0,achievement
256,division was last back in rest billets.  he had a staff job and put up,1,work
257,do not exceed what is necessary to maintain his family through,1,home
258,but for the threat and the fact that he did not try so hard,1,achievement
259,it had hauled around to the east. with a great effort he threw himself on the,1,achievement
260,"overtures, she succeeded in winning general esteem by an exquisite",0,achievement
261,"for he's a steady man with a large family, at a salary of five-and-twenty",1,work
262,"(11)  the family continued to reproach him for his recklessness,",1,home
263,"in their hands.  he tried to look more resolute,",1,achievement
264,"and from strymonius hew'd his better hand,",1,achievement
265,"<p>it was on my lips to ask him what he was tried for, but he took up a",1,achievement
266,his ideas succeeded each other with the gentle but unintermitting,1,achievement
267,her father that it was an effort for the latter to endure,0,achievement
268,"  when supper was concluded, and the king and his company remounted on",1,work
269,"blame for the ill success of his affairs, sent down tithraustes and",1,achievement
270,no words can describe.  with a spasmodic effort she withdrew her,0,achievement
271,"powerful as a hundred. it certainly was not m. de villeroy, her",0,achievement
272,"to range over, he tried to narrow it by asking about the servants' characters",1,achievement
273,had cleared away all the mists from his intellect. he felt his power and,1,achievement
274,to please his flock all means he tried,1,achievement
275,"touch with his contemporaries, darwin set to work to explain",1,work
276,he was in samavia--that the lamp was lighted and his work was,1,work
277,"tried easier positions. mr. creighton, who had hurt his leg, lay amongst",1,achievement
278,nose.  he tries a cigar a little later on as being more stylish--a big,1,achievement
279,"and drag his company with him, if he had company; but it",1,work
280,"spare time.  he returned to england again, this time working his",1,work
281,home from her half-day's work at some tradesman's house. mary and alice,0,home
282,"christian god, as a being more excellent and powerful than his",1,achievement
283,"ever and again, in spite of his efforts to suppress them, certain",1,achievement
284,"as she read in my face the success of her experiment. ""it was a",0,achievement
285,own.  he tried to speak in matter-of-fact tones.,1,achievement
286,"am his mother, there ain't a sweeter, dearer, better boy lives than",1,achievement
287,"have the touch of her elbow as they walked, was better than the",0,achievement
288,"working his mine.  the old-time spirit of '49, hap-hazard,",1,work
289,action.  his powers were the last effort of the state; the cost,1,achievement
290,"george, jr.'s, possible success she might draw to herself the",0,achievement
291,"worked out half a dozen stock forms, which he always consulted when",1,work
292,    if with his tongue he cannot win a woman.,1,achievement
293,frequently recurring. the united efforts of his two unfeeling sisters and,1,achievement
294,try candy very well.  perhaps that was why she,0,achievement
295,"walked abroad! he tried to stop his ears with his fettered arms, that he",1,achievement
296,"resolved to try once more, and clapped a fee into his hand.  as",1,achievement
297,for no other reason.  when one gitano confides his plans to ,1,achievement
298,the three weeks; but his usual incommunicativeness at home prevented this,1,home
299,"hard at work in one dull enclosure all his life, he had a child's",1,work
300,"his body from, him, as if to prevent his seeing the working of",1,work
301,i would have found her twenty that she would have had hard work,0,work
302,"<p>old mazey, in his way, proved to be just as disreputably inclined on certain occasions as the dogs.  at intervals, the original wildness in <i>his</i> nature broke out; he, too, lost all relish for the comforts of home, and ungratefully left the house.  he usually disappeared in the afternoon, and returned at night as drunk as liquor could make him.  he was by many degrees too seasoned a vessel to meet with any disasters on these occasions.  his wicked old legs might take roundabout methods of progression, but they never failed him; his wicked old eyes might see double, but they always showed him the way home.  try as hard as they might, the servants could never succeed in persuading him that he was drunk; he always scorned the imputation.  he even declined to admit the idea privately into his mind, until he had first tested his condition by an infallible criterion of his own.",1,achievement
303,he returned home and knocked at the door.,1,home
304,of his daydream of family life.,1,home
305,fault in this matter.  mr. bourne begins his ascending effort with,1,achievement
306,"pay no fine; but he who is disobedient, and does not marry, when he",1,work
307,"cherish him, and you will have such lovely work from his hand as",1,work
308,and she seldom had any visitors. the other ducks liked much better,0,achievement
309,"for her, was better for her far than the money of which she would",0,achievement
310,"unhappily a few weeks after his marriage, and before any household was",1,home
311,"our road, we shall have him to pay for; and,",1,work
312,that day.  his family did the same.  out of the,1,home
313,"their work as an officer came along the deck.  he was a pleasant,",1,work
314,"<p>at all, but she accepted the place since nothing better",0,achievement
315,"stratagem, and, to gratify his hatred, tried to devise a ",1,achievement
316,<p>of their plan to introduce her into what you would call good society.,0,achievement
317,"try to believe that he means something, search lovingly what that may be:",1,achievement
318,"and he tried to pass his arm under her, in order to raise her.",1,achievement
319,another effort to get there himself.  he tried to make out he was,1,achievement
320,"father, for he worked up well for him.  but he seemed to think that ",1,work
321,"caused his forbearance, meaning to be revenged by some better way.",1,achievement
322,"better than her home and a titled bridegroom.  she escaped, we",0,home
323,the harvester worked as he talked.  he set the rooms,1,work
324,"his power to prevent his dishonour, nevertheless is stigmatised by a",1,achievement
325,anything. he had been paid his money and wished to be at peace with men.,1,work
326,was roused to unwonted prodigality.  but he paid for the liquor,1,work
327,not fit to live. we planned that he should die.,1,achievement
328,"he tried not to think of that whizzing triangle, that seemed",1,achievement
329,<p>would be a great deal better for her to remain single; and told of,0,achievement
330,"he set to work upon the ramparts, and had the old and now useless",1,work
331,slightly better than the beginning.  who can bring a wise thing out of men,1,achievement
332,"doing as well there as he would a done at home -- better, maybe, because",1,home
333,"calling at home on her way to the infirmary, allowed the stay maker",0,home
334,"news, and not knowing what to do, returned home and told his wife",1,home
335,"<p>in her power to end it with a word, longing to bring peace to",0,achievement
336,although he was undoubtedly fearless and tried hard to distinguish,1,achievement
337,told by the man who had planned and perpetrated it.,1,achievement
338,"edwards, and in his scrapbook at home there were pages of",1,home
339,"do a job by the day required, he undertook it; if not, he told",1,work
340,"lachevre has departed, carrying his household gods; and long before ",1,home
341,"martyr. you had not, on your part, to pay him the price of",1,work
342,"of his power over the future, of his defiance of ill-luck, of every possible",1,achievement
343,estimate of the free element in the people. he does not try to,1,achievement
344,"mr. farquhar tried to catch him to speak to him, and tame him, as it were;",1,achievement
345,could not force herself to think of her. the memories of home and of her,0,home
346,    and if he failed his head should pay th' forfeit.,1,work
347,mother tried to fling off the burden of her anxieties. ,0,achievement
348,"<p>not taken into his tutor's confidence, he set his wits to work",1,work
349,"forests, till, by a circuitous route, he miraculously succeeded in effecting",1,achievement
350,"work which he can do best, and nothing else.",1,work
351,"revealed! god raises job again, gives him wealth again. many years",1,work
352, level with the rest of his tribe; and when the only business is,1,work
353,"totally independent of bulstrode, to whose plans he had lent",1,achievement
354,"""now stand thou back,"" quoth robin, ""and let the better man cross first.""",1,achievement
355,"old. his family was simple in habits and tastes, and entertained",1,home
356,"powerful in prayer, but he did wish he'd leave out the ""worms of",1,achievement
357,that his family had great reason and justice on their side,1,home
358,she looked round with the triumphant smile of a successful,0,achievement
359,"addition to nana's novel demands, his home expenses were ",1,home
360,but my power depends upon the disposition of the men by whom i am surrounded.,1,achievement
361,in order to engage (b) to furnish more? he cannot pay him in,1,work
362,might make better use of her sharpness. she was very critical herself-,0,achievement
363,or very powerful if she succeed in changing you into a beast,0,achievement
364,"most moderate, and he that delivered it a most powerful speaker,",1,achievement
365,"to get a better light upon it, until the slight cast in her velvety",0,achievement
366,"people's college, was a man of great force, a born leader",1,achievement
367,"  her spirits being in better manner met together, and she still",0,achievement
368,service for aught that may be in my power and her highness may,0,achievement
369,"present, made a sign to the host to follow him, paid him",1,work
370,"""do they all pay about the same?"" she asked.",0,work
371,confidence.  one thing alone he feared - that the vindictive leader,1,achievement
372,"with an army of workers under his orders, appreciated the moral influence",1,work
373,"kama knew the other was the better man, and thus, at the start, he was",1,achievement
374,the rev. mr. allan's salary he said he'd wait and see how many,1,work
375,<p>might not expect to go out with her a second time?&nbsp; the power,0,achievement
376,"impossible, without changing her nature.  as long as the power of",0,achievement
377,authority by war; the rise everywhere of the medicine man and,1,achievement
378,"<p>""i paid his expenses!"" said mr. tupman, jumping up frantically. ""he's",1,work
379,"as he says, the work is for ""federating employers in order that we",1,work
380,authority enough to prevail upon his own friends to act with,1,achievement
381,"upon the floor.  at first she could see no injury, but as she tried",0,achievement
382,"avoided the company of either of his brothers, from an idea that",1,work
383,"now has begun influencing him, especially since he tried to hang            ",1,achievement
384,"entrance of a new journeyman, he shall pay a small fine to the",1,work
385,his friends and patrons to step in and try what they can do in the,1,achievement
386,children of either sex; he can transfer them to another family by,1,home
387,"with his legs. he was hanging by them, head downward. a quick effort brought",1,achievement
388,"mrs. ballinger could not control her irritation.  ""really, it is",0,achievement
389,"senator's rank, he surpassed in power many who had won triumphs and",1,achievement
390,his household and relatives. but this is not all. as we see the,1,home
391,"<p>the superior power of one pleasure over his own mind,",1,achievement
392,the old man took me home in his carriage.  it was a beautiful ,1,home
393,with it.  old grannis came home from his work at four,1,home
394,"'why, sir, because it is so much better for a man to be sure that",1,achievement
395,"men in virtue, and has won the palm of excellence, that these very",1,achievement
396,"the idea of the benefits to arise from his valour, safety to his family",1,home
397,"not my man <i>friday</i>, for he was better employ'd; for with the greatest",1,achievement
398,through the venerable traditions of his family by devoting his time to,1,home
399,doing desperate things. men are such constant fools! the rest may try to,1,achievement
400,"and in his shirt sleeves working at the sphere, and walking out to",1,work
401,"robber (he said to those who tried him) he was, because he had ",1,achievement
402,gift.  if he had but stayed at home he would have anticipated the,1,home
403,"the work of the latter, true to his character of a modern and",1,work
404,"marks of contempt, and again lamented the labor she had undergone,",0,work
405,dramatist is lopsided if he tries to ignore it; he is a monster if ,1,achievement
406,"succeeded in meeting his sword, which slid along his own",1,achievement
407,out the new plan that he had made on the journey back. he was sure,1,achievement
408,"the effort to escape the marble-hearted glare of his schoolmates,",1,achievement
409,"the thoughts which were working within him, he would indeed",1,work
410,"wanted to speak to mr kuprasso.  he paid no attention, so i",1,work
411,was just as likely to be at work in his laboratory at,1,work
412,a large and complicated amount of business was brought upon her hands.,0,work
413,to tell the duke that i shall be charmed if he will pay me a,1,work
414,unknown to lacedaemonian ears. his power as a prince is sufficiently,1,achievement
415,"ceding part of her power to a supreme council, the lower ranks of",0,achievement
416,"at intervals, as he combated his lassitude, he made an effort",1,achievement
417,family she could have sworn. in point of fact mrs crick did remember thinking,0,home
418,disappointed.  but it was her business to be sensible.,0,work
419,<p>he does not let business wean him from the little cares,1,work
420,"homage which is paid to the persons of kings, he need not wonder that",1,work
421,"for mr joseph cuffe, a worthy salesmaster that drove his trade for live",1,work
422,"grudge for doing so, and he was determined to pay the young man",1,work
423,"him and his brethren in england, returning richly home to florence,",1,home
424,"  ""it was naturally my intention that he should succeed me in my",1,achievement
425,he knew mademoiselle reisz a good deal better than he wanted,1,achievement
426,"walked, the better he walked. he was adjusting himself. he was learning",1,achievement
427,extraordinary expedition.  he succeeded in his enterprise.  but it is,1,achievement
428,sparsit sedately resumed her work and occasionally gave a small,0,work
429,he was conspicuously successful in his art.,1,achievement
430,"attempt to win lydgate's confidence, disinclined him to a second;",1,achievement
431,"of french doctors. that's lily all over, you know: she works like",0,work
432,"due respect to his reverence, be it said--is beyond the power of a",1,achievement
433,ran home so fast that the goose-girl thought he had suddenly gone,1,home
434,now does the price of the bullion which the exchanger pays in his,1,work
435,"both the family rose and the little ones, which encircled her slender waist,",0,home
436,"with the indians he had to deal with, and held such control over them that none dared to act",1,achievement
437,surprise it. he studied the wood-mice and tried to dig them out of their,1,achievement
438,here was household services with eight; on such a showing he had,1,home
439,"gold watch and chain, which was another, still better -- and he had promised",1,achievement
440,"""i don't know that it would make it any better if he did",1,achievement
441,that he may enter into some speculation guaranteed to pay twenty per,1,work
442,"his family for ten generations, so much had he left in the house of",1,home
443,"blithely home to display his treasure, and consult upon the means",1,home
444,his business right and left that day. it seemed as though his deep mortification,1,work
445,to right and left; the gods his better side,1,achievement
446,with his crown of red hair. he paid them compliments in french,1,work
447,again.  there was a kind of power about her face--a kind of,0,achievement
448,"<p>`miss florence,' he replied, with an effort to recover the cheerful",1,achievement
449,"german side, of his telling the lord of the manor, while that great authority",1,achievement
450,"still be stronger.  the better man throweth the worse, and the",1,achievement
451,"questions, tried to tell honestly the truth of this experience, he said,",1,achievement
452,"be solved, and that he ought to try to solve it.",1,achievement
453,"better evidence had giovanni founded his confidence in beatrice,",1,achievement
454,expression of authority upon her face:,0,achievement
455,"business into his hands, than those of any other person living, for",1,work
456,but edith. it is better that few eyes should see her; and her daughter,0,achievement
457,efforts to draw her into open discussion she confronted with a barrier,0,achievement
458,"them; on the contrary, he had made it his business to tend the sick",1,work
459,surely serve his purpose.  we suspect much of the success of his ,1,achievement
460,persist in looking for him in the class of false workers and,1,work
461,"his plan of teaching was excellent, with much labor, i made little",1,achievement
462,"past centuries, of ancient names, and blue blood, had paid toll to her",0,work
463,"firm man, a plan was laid for surrounding him with artful people, ",1,achievement
464,"  ""what business is she of yours, my good sir?""                             ",0,work
465,"his income, or shirk the resolute honest work that brings wages, and",1,work
466,his home is in philadelphia; but he is known in,1,home
